"","EIFRadj","crudeCFR","cumAsctRate","rcnt2wAsctRate","pctEstTotalCases","pctEstTotalCases_L","pctEstTotalCases_U","pctTotalCases","pctEstInfection","pctEstInfection_L","pctEstInfection_U","cumAsctRate_L","cumAsctRate_U","rcntAsct_L","rcntAsct_U","testPosRate7","rcntAsct1w","rcntAsct4w","deathRateTot","deathRate4w","cvDR"
"CT",0.504106973515114,2.70404217926186,17.8496915263825,22.796074256559,44.7050988963867,22.3223734374508,64.5107566612968,7.97972224956925,12.5754882600246,6.03715796259437,12.5754882600246,12.3695995250303,35.7476424804428,15.8258018090775,44.7703653376092,2.52688451839678,26.1132205596076,24.4078044916726,0.215775055416296,0.0142485022944857,147.042282010673
"AL",0.508453463744885,2.02659835045254,19.1730267523489,2.38399946565344,52.981793740621,26.478973935001,81.870127037968,10.1582134877636,23.1141513427764,10.9516415054381,31.3755142834364,12.4077167769052,38.3633199409438,1.56058204815492,4.80412013533186,19.8920585967604,1.70134398632746,4.12622798165018,0.205866186978464,0.0352627934699588,119.219237972189
"MI",0.549803797668715,2.54202875010152,20.6959208284628,15.5576751471387,31.5737498173873,15.6700532996629,49.9625050176493,6.53447826478341,6.75463871767759,3.30781421248269,7.96207124681169,13.0787642902915,41.7004214333078,10.9000306207891,31.3510726449961,4.23242873749875,15.0233835335855,16.8416055799032,0.166108316159929,0.00865137049624321,166.388586320709
"PA",0.564645624312536,2.57255116900829,21.6701044562015,92.106786096728,33.9354592549297,17.4574107653441,57.4079085978195,7.35384946823498,5.92889380192522,3.5550503012187,10.0143316661841,12.8098194967414,42.1245141509392,54.4469138974692,98.9999999999915,5.6801283255182,95.7724745467669,84.1549974860106,0.189181540462189,0.0165443041702348,77.6422133411086
"MA",0.629244776127821,2.77941703194556,22.1006477462018,49.1263267565057,38.4897717006761,19.1024509204202,65.1014129588205,8.5064888618837,3.6304477021091,1.52761024131377,6.11171407051,13.066519565811,44.530876678188,29.0449494364131,98.3404154039394,1.64368240939595,49.7991494356292,47.480682110489,0.236430800247747,0.0219368783735023,34.3750387769019
"NJ",0.666709417561575,2.92661109373852,22.2998251960522,75.1346847420124,40.5242487623159,21.2140541856401,68.5747848261458,9.03683663600981,1.39502402629827,1.37021086760847,2.35906311275967,13.1780750882711,42.5983480429067,44.4008523343597,99,6.51260157911211,75.6109833673451,73.4280760863613,0.26447306351249,0.0191169069790221,64.2042247162931
"OH",0.441692088539595,1.78002627042115,23.3928385771763,15.6357900166578,35.6376396527258,17.6854340703744,44.2377389720754,8.33665551667793,13.6268133458631,5.1209531155807,13.6268133458631,18.8451211802221,47.1385405837622,13.5115374283061,31.5084859426603,4.82980110466294,15.252962619994,16.586244168108,0.148394658271381,0.0499354099117982,114.101938540659
"DC",0.63868861898074,2.49670844102014,23.9476479576232,21.0382447477853,24.2671620612337,12.4326188072332,39.0741105653419,5.81141453973013,2.81264509258921,1.57827662812887,2.82544570806404,14.8728005721639,46.7432857858483,13.8456223770223,41.5084301418786,2.77337313061579,24.2644682936873,23.4903843952694,0.145094077356114,0.0130357960124634,113.710727273871
"NY",0.682229943956016,2.34024238483222,28.446866240252,95.1197483124933,29.9566032882266,16.6679648323839,52.1848232041748,8.52171486752477,0.391611511365242,0.391611511365242,2.1637559104907,16.3298720667948,51.1263069800104,24.860026011031,99,3.1243485480012,97.1739414029798,90.7944910486474,0.199428783244363,0.0155704140748319,93.4127793948179
"LA",0.655288566294538,2.2393977716998,28.5283681364562,35.9395222201517,32.6133935344018,16.1840900245904,55.1748073312915,9.30406896928537,1.68717055553031,0.645910208514929,2.84024123741489,16.8628934459527,57.4889842749801,21.2436816101008,72.4235826557631,3.61346797323125,35.3267045169048,37.7682218182954,0.208355113175589,0.0138100333118654,22.2470866727141
"MS",0.674034779927175,2.28394686548215,28.6824417991809,35.1350315236391,34.6933958607694,17.2162716301563,58.7062318551188,9.95091307592463,1.24273391052637,0.558013050589527,2.10045001232752,16.9503522223714,57.7994660498644,20.7636185035146,70.8024120097668,12.6003543025135,35.1039349300304,35.211731140093,0.227273567284434,0.0195554725250651,24.787407351099
"FL",0.522434182991725,1.68652710001784,29.4224044585087,32.4470625103401,29.9832576363485,14.8794713831893,47.0748824728918,8.82179533160314,8.38927381976644,3.89204409618976,10.5342829807627,18.7399200341779,59.2883651872872,20.7851349792677,65.3857471799296,6.26160785354178,32.3816177801176,32.5619584067271,0.148781968975596,0.0198205239220501,165.268129097445
"MD",0.648163204439314,2.05891908047769,29.7530649294498,20.5106091020722,21.3903895430102,10.7494747680429,35.6614305816115,6.36429648939408,1.98299572780777,0.883233645905721,2.83385910781666,17.846441899826,59.2056507571372,12.1100546781029,41.3767121333006,2.34079584408237,23.0498734852324,23.2358905877102,0.131035714758307,0.0110988342088897,112.621345357056
"NM",0.653948112025305,2.02464599583145,30.8947841466509,22.7949350943555,28.7361683187766,14.2606986894529,48.0286554943603,8.87797717410433,2.46964893779727,1.09213009379202,3.58069326640737,18.4847505780103,62.2548541795529,13.660414119013,45.9352479931728,2.39933428875243,21.930666238684,24.7295690220198,0.179747609366334,0.0197440993042351,61.3889980734241
"IN",0.69104084409881,1.90579821385034,32.5588844225733,12.7734935689657,30.3132108274887,15.3451424989817,52.1404948123956,9.869643278093,2.38659740490433,1.18846755630988,4.88201567861649,18.9289405741248,64.3177036560459,8.00700749996448,25.7718721371291,2.30173051707771,13.5520782877596,12.6658282940407,0.188095485307296,0.0152401459310816,119.594021155405
"NH",0.555241504459693,1.54637821943343,32.575170099382,26.1746531758185,17.1987254296995,8.53882854719143,25.0075417956485,5.60251406365029,4.27902079969764,1.39700660409564,4.27902079969764,22.4032978108435,65.6122093643988,22.9664248126192,52.7458920058191,4.26230376194628,23.891417025513,29.6804674380941,0.086636057220983,0.00683968872797234,103.831785773293
"AZ",0.673244636620159,1.97111707595103,32.8321922843033,26.7150516334838,34.3593996335075,17.0505291414398,58.1418870152212,11.2809441554054,1.91933293836535,0.851000408940834,3.24751121058061,19.4024389893849,66.16184202746,15.787468638717,53.8348767765754,3.62770164465262,24.9303236606139,30.3864579965978,0.222360616575696,0.033426220582556,36.7310099328184
"RI",0.69180230754293,1.98783342597885,32.8587163600824,27.3022432253517,36.6934154205123,18.7888582138766,62.0634736467767,12.0569852958529,1.49137246388897,0.408372926498075,2.49467864511224,19.4268618680177,64.1709312966562,16.1372559104626,37.5929582971701,2.14666936900418,24.2604865157788,33.1099222868533,0.239672783876318,0.0311508541469811,36.0285536803676
"DE",0.642616650883304,1.6475930764579,33.7086524087045,12.2354780479504,26.700668168669,15.1311918112327,42.5368185032898,9.00043542377825,5.01107008992528,2.66788652517482,6.26031654968337,21.159164555483,59.4826602957788,7.45671112090077,23.6655091294827,4.37644040010448,10.1140101610644,19.299906995739,0.148290550893235,0.0317325347825551,135.172734117134
"IA",0.709249100862092,1.96736924777267,33.7874060900177,14.4605685782869,26.3965003614716,13.2634409087395,45.0819124770211,8.91869277068337,0.571981295978451,0.287115912379016,1.38455280784459,19.7833061657031,67.242677311637,8.52979725829365,29.156124860334,19.3667953667967,15.5643245742029,17.6346285214847,0.175463618873749,0.0159425939836517,92.5272688684584
"IL",0.661162308407539,1.91927995575147,34.0928002347167,92.21115053301,27.6206172258209,14.5750746110655,46.715598923911,9.41664185439488,0.719577734901848,0.719577734901848,1.19229338472459,20.1573822691055,64.607846653805,54.5199757110346,98.9999999999987,2.43759659538596,94.4515352746796,86.9143393219659,0.180731719616305,0.0110875934879446,61.5731368937902
"AR",0.684706089904143,1.67317362458148,37.083847516792,12.2590375619761,28.9295720473937,15.2614921069401,50.1218414783412,10.7281983853159,1.98125644040439,1.44995834729446,4.52390109306529,21.4042382899117,70.2958682554857,7.77212732850675,23.382956849404,6.15764623590086,13.1850525159986,18.9810331975642,0.179501385775882,0.0135197647030755,57.4311925256007
"GA",0.717508624074971,1.74459519494254,37.1684238751784,18.3695503350981,25.7816328887759,13.589895336255,44.4314858434647,9.58262659404264,1.61612869000947,0.914988896229719,3.6745500873752,21.5671981526859,70.5128800254861,8.73164915409986,24.5316636383881,13.0244045104474,13.8917192593339,26.2446351864047,0.167178043108954,0.0281989330179272,64.6476650076589
"MO",0.676986399911059,1.69955957425511,37.6004006387624,11.9460935016744,20.7798464263608,10.9391047030415,35.6970269460618,7.81330550843122,1.4859523530967,0.49491131861943,3.14404829810652,21.8878326204508,71.4254568407123,4.19254479844982,14.297612966157,3.1061630419671,9.92418420700405,16.4213875478635,0.132791781834345,0.0168311546791262,119.823243472221
"WV",0.681885855507379,1.74031670900005,37.857253253312,47.5443734677848,19.5556795935567,9.86428261097521,34.1550062171763,7.40324314913899,0.372094581275689,0.186351105227203,1.70440295636605,21.6754261500206,75.051004123726,13.3015617936978,57.8242906065265,3.06437824686019,47.7214598288184,46.5841996298559,0.128839877532368,0.0127779696643188,133.587381938715
"VA",0.646364402548885,1.60936898013099,38.0796318111423,46.1324910110727,17.8878576130976,8.91752955451037,27.4843341224678,6.81163031796895,4.4636649016699,1.15632408403152,4.9218181368805,24.783683270684,76.3847237772676,31.1278503463623,92.9639591586902,7.3523500581791,46.2289931771453,45.8928864620708,0.10962426537859,0.0317145331174355,114.979149765735
"ND",0.57871647832969,1.4752854747265,38.3514949883288,26.38354872225,34.27881209868,17.0621019188654,52.2624968528405,13.1464369040839,5.03590335397222,1.00814527033416,5.03590335397222,25.1546284539397,77.0505121033654,18.817286150436,53.1668481827185,3.40386940749714,26.2047951536408,26.6985348675325,0.193947474090035,0.00406791048497366,116.43680062458
"NV",0.679665985437406,1.69621342804564,38.5720181414069,25.3831506980843,24.835820355877,12.5555905112587,42.0405333133776,9.57967713323611,0.793441218268922,0.349200965143532,1.35685156255508,22.7867640541748,76.2981010303414,6.17745168391809,31.9625161271709,4.91149640548594,23.6420834247389,29.5259339446002,0.162491769897369,0.0188626809810932,125.906021123626
"SD",0.679835652178354,1.6769115110777,39.4290736833289,34.7057458691525,32.4142302493556,16.4327002167156,54.6938339219229,12.7806307289023,0.498048726941692,0.202803240930715,0.708553187917566,23.3675897490512,77.7755971955338,14.7777252340176,49.9774421531817,11.1234592847038,34.6335034179903,34.8640150256091,0.214319867881297,0.0122080937400739,61.7288811177527
"KS",0.767404070498804,1.63193938510855,39.6822534310175,8.43220718525104,25.5269443858276,13.8441969684561,45.1240321458326,10.129666764379,1.25029527364751,0.725015885615093,4.16079465750383,22.4484964722163,73.1690453946833,5.18539493371769,17.012432574538,14.2071035517759,6.6770632783408,11.639438288849,0.165310021508152,0.0316134821031993,95.0218697380658
"SC",0.704051654831906,1.66039385462542,39.7019704758099,48.6633818996769,25.5150218312437,12.671899555209,43.1656743976383,10.1299664343368,0.991788091106472,0.186329086246086,1.66789072190491,23.4676431578955,79.9403940206636,28.7647071018814,98.0640877675345,6.00463970363433,48.7221762854086,48.539131271953,0.168197340151347,0.0227823879904768,34.42573967915
"ME",0.684972501056046,1.55880336966856,40.2832496854132,28.1188443133326,8.35228903212953,4.56715807324207,13.8987640245141,3.36457344526012,0.655422828420636,0.322218377615507,1.14644426734687,24.2077168827806,73.6688634661538,20.8279685223545,36.8651861572318,1.68488160291437,25.9553254363899,33.043361389337,0.0524470842396884,0.00557947704677536,97.7659495018334
"TX",0.686789879266879,1.64248372227434,40.5079618048296,59.6994131756166,22.7441153391413,11.5892433939069,38.3020650210683,9.21317755442575,0.99849590076335,0.33913080425518,1.55334685056814,24.0539969564512,79.497662110277,35.4502197513917,98.9999999999931,12.3715121201978,60.1649454693552,57.8601085271141,0.151324941635676,0.0212133578558968,42.349674946179
"CA",0.667241991119593,1.52066796102701,40.8036244407608,15.5051268386547,21.6373670877097,10.9100794941941,36.0943672542712,8.82883000533784,2.67382814297153,0.851018702584479,4.00714367032779,24.4604094127543,80.9236083938361,9.30616498213071,31.2451798415321,2.11027164845051,11.9897664054374,23.0678219038529,0.134257189224712,0.0267815860423748,73.6866674526099
"HI",0.661045737263811,1.54921660928827,40.9202546216877,33.2644898497247,4.91319639255222,2.71668773177046,8.61415895433337,2.01049247389595,0.185651622687239,0.185651622687239,0.747571212869906,23.3393937185773,74.0052840959277,22.1068772508998,49.1642708612621,0.750327523919181,38.8960949347974,25.6502448027138,0.0311468833340867,0.0017656963341319,256.453810443928
"WA",0.651020910551048,1.46448649469956,42.6904405384002,47.8548001542275,10.5276454307924,5.59698207296025,16.7647757322882,4.49429821272604,0.658657171812312,0.0558159882286815,0.658657171812312,26.8079829071034,80.2985993905283,30.1955143714374,76.0699201534832,3.70973650469683,47.5489313965569,48.6339813742553,0.0658183903568967,0.00819446839239895,29.8647494185563
"OK",0.482589206724784,1.06272017926078,43.1958979854635,31.953026273068,24.9607260816218,13.0243342237423,40.400656577659,10.7820097746483,8.81333461975367,2.4053259365875,13.1192739426232,26.687709279979,82.7835771827295,19.9952109008969,64.3901893078513,4.62576193570328,31.5423259754383,33.1516966168096,0.114582593605058,0.0215568928859979,173.107019066971
"VT",0.631429749422597,1.31964809384164,43.8261375318997,67.8762802102481,5.73590671479808,3.47467837039289,9.00428909200385,2.51382636552888,0.660561251561165,0.494890804114106,0.673518585618069,27.9180992507365,72.3470231647551,43.2685688753493,78.6102495322922,1.38007536581786,54.5134081055704,68.4418682752243,0.0331736617151905,0.0041667401188162,172.532075358884
"TN",0.688080247801476,1.47552950866574,44.8859168374864,36.0864104062354,25.4278373917131,13.0895790782024,42.9499540543848,11.4135179452156,0.622895271206844,0.129247667218626,0.974891175827497,26.5739933755539,87.1954543154265,21.3644271219262,43.3830172322553,8.52793200905965,35.1627631057878,38.411946326186,0.168409825258516,0.0190213340588481,44.4476579877941
"OR",0.689667560664118,1.44093878569555,45.830824752193,48.0923959095282,8.085105412921,4.22553087400037,13.4827358175714,3.70547049282589,0.303520867398837,0.03910964038491,0.350875627916904,27.4830757122508,87.6924250068932,28.8417399845468,54.4474915662784,0.851775713098937,47.9490711458389,48.4141495303821,0.0533935615236322,0.00618815255669095,33.9852782738135
"CO",0.669827169669903,1.37960976488438,46.8512684554745,60.636570027703,16.0494604043241,9.2720303477436,28.1053781442655,7.51937577968499,0.509271997659488,0.297414738024424,1.83461864110925,26.7542238396077,81.0974025933259,34.8124426055339,93.8077876124559,4.37117247376729,60.6563953827799,60.5905042767826,0.103738042514885,0.00515738175877484,96.7787174805016
"MT",0.695766091520249,1.3677373148581,48.9180340577389,56.3444032569512,19.2284156700892,10.5035733543858,32.5352331607109,9.40616292625784,0.144715038209292,0.0980226287540724,0.283116493589486,28.9106977650819,89.5520277613933,34.57789033745,58.8660878003987,3.7278593985994,59.4151537532746,46.5834337024781,0.128651600238777,0.00626884161163497,89.6122276983918
"MN",0.677792253811931,1.33798684377911,49.4170856304906,58.5176892288528,17.4877711628965,10.2081711334047,29.7821065606107,8.64194685043279,0.191063540685321,0.0939011254963895,0.535563991408055,29.0172450791728,84.6571509969435,31.7716537833217,77.8766138239913,2.88192079527062,59.8529405016967,58.7211500066994,0.115628111905174,0.00478754642146864,52.1383326903906
"NC",0.675515580617301,1.31316412765997,49.6660573098267,85.7527501446966,16.6644851609023,10.001543658849,28.1927107467565,8.27659275040131,0.82167194123743,0.82167194123743,1.383834801718,29.357208055467,82.7531532402847,50.687755518054,98.9999999999979,6.18025434360145,86.8830997750225,83.0972147140861,0.108685246990775,0.0159323666744088,56.6457294182449
"WY",0.679429754323922,1.24714272652464,50.7996929757269,20.0502453971249,18.5998469826605,10.860303311447,31.3404994177953,9.44866516114652,0.663026066188331,0.403993366143574,1.58584823971919,30.1484192551875,87.0018533569634,13.6725244724299,40.0355830316386,Inf,26.0798980606496,24.4383011309926,0.117838340310907,0.0100214424311328,90.1394456286293
"KY",0.700525909624771,1.15855450004897,56.3541581924096,42.0283637847714,16.2226172688237,9.89081163711735,27.3647493293437,9.14211939862206,1.01811289268566,0.612464942581915,1.69222873389576,33.4083798415021,92.4304266832292,24.9157883431608,84.6935209602224,8.83436554993637,40.2709425222373,46.1127398892042,0.105916435692585,0.0181526266582178,37.3815338534469
"WI",0.698789085204144,1.14236493091289,57.3445781445123,19.1850181312656,18.5675295407668,11.6306580923252,31.7342439369923,10.6474714870104,0.580478240980595,0.494899980036615,1.34235325078148,33.5519935756174,91.5465952355391,11.7221549709177,40.1570903555191,2.57570958969941,16.9423590997179,22.2662603557168,0.121632980296556,0.00922294696685269,77.1053799718735
"ID",0.674527270617904,1.08887444279346,60.3558899437714,66.756562405488,15.9733137575792,9.89691670049148,26.4559423993359,9.64083567189778,0.402718265100594,0.334795564107016,0.402718265100594,36.4410971507852,97.4125170864479,23.8829161999012,99,24.8508204873194,66.7255292730941,66.7305281649494,0.10497659570301,0.00716258222280667,36.6725102830985
"NE",0.671937135326172,1.03578201046675,62.007584921148,38.2180129682207,16.8383844102066,10.7619507881245,28.9655697328636,10.4410755125082,0.509550778973512,0.253082777330967,1.74013738395168,36.0465048980619,97.018428332061,18.8540460617131,77.015086738981,3.32011452350041,35.5559388652888,43.5161928755984,0.108146781857809,0.00723735633847668,62.7794400097495
"AK",0.501394151053486,0.533967750462596,89.2580290837552,69.8715922252486,8.6903898866198,7.85638639158333,12.4065769946754,7.75687073249082,0.240552400701141,0.240552400701141,1.02012175869625,62.5222471582602,98.7333151129236,48.3503052386834,99,1.60738010142025,67.379217533391,73.9053514877217,0.0414191881565727,0.00328072777477804,199.485481514056
"UT",0.498732549084558,0.524539317642766,90.6358153874742,66.8859180387345,12.8265848992249,11.7296913657054,17.8356843124765,11.6254798097792,1.21484938564793,0.707409133987719,2.63278691037375,65.1810135574492,99,49.7009474004389,99,5.80015585151607,63.6576733309323,72.8744182078828,0.0609802124669132,0.00761082958666333,46.66375691361
